store_id,store_name,branch,average_bags_at_9AM,average_overall_rating,price,longitude,latitude
404,Le Chantilly,6th October,7,3.2,91.54,30.9282,29.9485
405,Dunkin,Zamalek,28,3.3,48.04,31.2274,30.0593
406,Cookiedoodle,Sheikh Zayed,18,4.8,55.86,30.9314,30.0311
407,Cookiedoodle,Zamalek,24,4.9,47.54,31.2156,30.0579
408,Cinnabon,Nasr City,13,4.7,93.6,31.3401,30.0684
409,Cilantro,Maadi,19,3.8,96.94,31.247,29.9562
410,Dukes,Tagamoa,27,4.0,90.91,31.4682,30.0262
411,Nola Cupcakes,Heliopolis,34,3.0,27.06,31.3421,30.1057
412,Etoile,Sheikh Zayed,36,4.8,25.88,30.9796,30.0272
413,House of Donuts,New Cairo,12,3.2,26.65,31.457,30.0049
414,Bisco Misr,Dokki,20,4.1,65.29,31.2158,30.0408
415,Nola Cupcakes,New Cairo,29,3.5,30.94,31.4906,30.0133
416,Harris Cafe,Shoubra,24,3.8,63.58,31.236,30.0948
417,Tutti Frutti,Shoubra,22,4.2,49.81,31.2305,30.0742
418,Harris Cafe,Downtown,38,3.6,31.82,31.2521,30.0578
419,El Abd,Sheikh Zayed,29,2.7,87.5,30.9452,30.0083
420,Harris Cafe,Rehab,10,4.2,98.53,31.5196,30.0613
421,Nola Cupcakes,Maadi,35,2.6,27.62,31.2504,29.9497
422,Dipndip,Nasr City,31,3.4,84.6,31.3437,30.0528
423,Fresh Food,Dokki,13,3.5,76.87,31.2024,30.0386
424,TBS,Nasr City,40,5.0,72.08,31.3135,30.0635
425,Le Chantilly,Tagamoa,11,2.8,28.2,31.4417,30.0289
426,Beano's,New Cairo,14,4.3,74.06,31.4516,30.0394
427,Bake Rolz,Mohandessin,30,4.8,33.7,31.2042,30.0568
428,Lychee,Downtown,22,4.7,55.11,31.2449,30.0558
429,Cake Maison,Heliopolis,34,2.7,85.18,31.3581,30.1054
430,Mandarine Koueider,Mohandessin,23,4.0,42.87,31.2011,30.0402
431,El Abd,Rehab,10,4.6,70.84,31.4969,30.0679
432,Beano's,Maadi,31,3.1,64.6,31.2565,29.942
433,Cookiedoodle,Korba,38,4.5,87.43,31.3309,30.0802
434,Fresh Food,Downtown,19,3.8,63.84,31.2574,30.0595
435,Gourmet,Maadi,39,4.5,68.95,31.2527,29.9667
436,Cake Maison,Downtown,8,3.2,44.29,31.2395,30.0595
437,Harris Cafe,Heliopolis,38,3.3,56.1,31.3493,30.1032
438,Gourmet,Tagamoa,29,4.0,59.93,31.4335,30.0295
439,Dunkin,New Cairo,26,5.0,73.04,31.457,30.0472
440,Fresh Food,Giza,20,4.8,45.81,31.207,30.014
441,Cookiedoodle,Rehab,32,4.7,59.42,31.5133,30.0442
442,Krispy Kreme,Korba,8,4.7,82.26,31.3391,30.0919
443,Paul,Heliopolis,30,3.5,75.14,31.3275,30.1092
444,House of Donuts,New Cairo,25,3.1,95.83,31.4394,30.016
445,Le Chantilly,Rehab,21,4.1,32.28,31.5142,30.0419
446,Patchi,Maadi,39,4.7,46.23,31.2703,29.9688
447,Simonds,Nasr City,38,2.6,81.97,31.3102,30.0512
448,Beano's,Tagamoa,17,2.8,41.02,31.4351,30.0037
449,Etoile,6th October,32,4.2,64.27,30.9071,29.9556
450,El Abd,Sheikh Zayed,29,2.8,55.21,30.9641,30.0174
451,Breadwinner,Shoubra,30,3.7,34.12,31.2433,30.0914
452,Costa Coffee,Maadi,24,3.4,34.22,31.275,29.9789
453,Baskin Robbins,Shoubra,34,4.8,78.26,31.2537,30.0784
454,Paul,Sheikh Zayed,7,3.5,54.07,30.9736,30.0012
455,Breadwinner,Shoubra,14,3.6,41.63,31.251,30.0935
456,Lychee,Giza,25,4.5,98.68,31.1908,30.008
457,TBS,Korba,37,2.7,32.84,31.3313,30.0997
458,Edita,Zamalek,32,4.9,63.64,31.2293,30.0602
459,Breadwinner,Maadi,7,2.7,57.92,31.2483,29.968
460,Mandarine Koueider,Korba,13,2.6,86.95,31.3292,30.0921
461,Fresh Food,Sheikh Zayed,21,4.0,72.42,30.9471,30.0383
462,Auntie Anne's,Tagamoa,20,3.2,89.06,31.4718,30.0216
463,Dunkin,Tagamoa,30,3.9,46.08,31.4308,30.0211
464,Auntie Anne's,Korba,27,2.9,85.85,31.3276,30.0984
465,El Abd,Sheikh Zayed,16,2.7,60.62,30.9294,30.0305
466,Bisco Misr,Dokki,36,2.7,38.13,31.2151,30.0441
467,Bake Rolz,Zamalek,33,3.5,51.07,31.2228,30.0573
468,Gourmet,Nasr City,18,2.9,31.27,31.3392,30.0657
469,TBS,Rehab,30,2.6,38.48,31.5098,30.0463
470,Mandarine Koueider,Downtown,32,4.5,79.79,31.2475,30.042
471,Harris Cafe,Giza,30,3.2,96.84,31.2091,30.0099
472,Baskin Robbins,Dokki,12,3.4,42.58,31.214,30.0349
473,Marble Slab,Nasr City,28,2.9,46.32,31.3485,30.0726
474,Paul,Rehab,15,3.4,78.42,31.504,30.072
475,Dukes,Tagamoa,34,4.6,26.22,31.4419,30.0042
476,Baskin Robbins,Dokki,26,4.6,34.58,31.2011,30.0387
477,Beano's,Zamalek,10,2.7,87.14,31.219,30.0526
478,Beano's,Korba,21,3.5,48.6,31.331,30.0834
479,House of Donuts,Zamalek,36,2.9,72.07,31.2192,30.051
480,Edita,Zamalek,7,2.6,45.63,31.2285,30.0612
481,Breadwinner,Mohandessin,13,4.0,64.9,31.2079,30.0505
482,Marble Slab,6th October,27,4.3,71.54,30.942,29.9319
483,Dukes,Mohandessin,12,3.7,72.89,31.2074,30.0665
484,Starbucks,6th October,23,3.3,48.8,30.9124,29.9639
485,Costa Coffee,Rehab,36,4.5,54.26,31.5118,30.064
486,Marble Slab,Maadi,7,3.1,37.25,31.2661,29.9506
487,TBS,Rehab,19,4.5,78.77,31.496,30.0567
488,Dunkin,Mohandessin,9,4.1,57.25,31.193,30.0471
489,Edita,Shoubra,6,3.5,68.96,31.2377,30.0705
490,Cilantro,Mohandessin,24,3.7,57.32,31.2025,30.0562
491,Edita,Tagamoa,36,3.6,50.87,31.4589,30.0275
492,Nola Cupcakes,Shoubra,18,4.0,41.3,31.2521,30.0792
493,Cookiedoodle,Mohandessin,20,3.7,54.69,31.1958,30.0546
494,Dunkin,Korba,26,4.5,96.67,31.3317,30.0976
495,Bake Rolz,Korba,10,3.6,99.18,31.3252,30.0909
496,Cilantro,Tagamoa,32,4.1,58.69,31.4583,30.013
497,Patchi,6th October,36,4.3,73.77,30.9026,29.9295
498,Patchi,Giza,29,3.1,57.49,31.198,30.0001
499,Mandarine Koueider,Shoubra,20,3.1,62.85,31.2596,30.0831
500,Le Chantilly,Tagamoa,31,3.3,82.61,31.4616,30.014
